top - 16:38:10 up  2:35,  1 user,  load average: 0,09, 0,06, 0,01
Tasks: 234 total,   1 running, 190 sleeping,   2 stopped,   0 zombie
%Cpu(s):  0,7 us,  0,2 sy,  0,0 ni, 98,7 id,  0,3 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem :  8165652 total,  5680604 free,  1280660 used,  1204388 buff/cache
KiB Swap:  2097148 total,  2097148 free,        0 used.  6581552 avail Mem 
 2053 vbub      20   0  476540  15516  13380 S   0,0  0,2   0:00.02 gsd-datet+
 2056 vbub      20   0  374648   9008   8088 S   0,0  0,1   0:00.23 gsd-house+
 2058 vbub      20   0  516588  22948  18092 S   0,0  0,3   0:00.14 gsd-keybo+
 2064 vbub      20   0 1089804  25364  19832 S   0,0  0,3   0:00.31 gsd-media+
 2067 vbub      20   0  296612   8372   7520 S   0,0  0,1   0:00.00 gsd-mouse
 2093 vbub      20   0  508764  12504  10784 S   0,0  0,2   0:00.01 gsd-print+
 2115 vbub      20   0  827404  48856  36640 S   0,0  0,6   0:00.94 nautilus-+
 2117 vbub      20   0  271932   6104   5064 S   0,0  0,1   0:00.00 gsd-disk-+
 2128 root      20   0       0      0      0 I   0,0  0,0   0:00.73 kworker/1+
 2140 vbub      20   0  894192  67296  27360 S   0,0  0,8   0:00.31 evolution+
 2144 vbub      20   0  384144  10188   8804 S   0,0  0,1   0:00.02 gvfsd-tra+
 2151 vbub      20   0  220928   8404   7716 S   0,0  0,1   0:04.64 ibus-engi+
 2173 vbub      20   0  187904   5156   4556 S   0,0  0,1   0:00.01 dconf-ser+
 2180 vbub      20   0 1142572  63048  23912 S   0,0  0,8   0:00.33 evolution+
 2193 vbub      20   0  734936  24680  21216 S   0,0  0,3   0:00.05 evolution+
 2204 vbub      20   0  950196  27224  23644 S   0,0  0,3   0:00.06 evolution+
 2227 vbub      20   0  804592  38940  28576 S   0,0  0,5   0:19.50 gnome-ter+
 2237 vbub      20   0   29764   5360   3792 S   0,0  0,1   0:00.49 bash
 2248 root      20   0       0      0      0 I   0,0  0,0   0:00.00 kworker/2+
 2256 vbub      20   0 1342008 134940  36220 S   0,0  1,7   0:03.02 gnome-sof+
 2259 vbub      20   0  606996  28864  23396 S   0,0  0,4   0:00.36 update-no+
 2279 root      20   0  563456  23204  14272 S   0,0  0,3   0:00.38 fwupd
 2343 vbub      20   0 3230980 276936 136048 S   0,0  3,4   0:32.95 firefox
 2435 vbub      20   0 2584944 103488  81072 S   0,0  1,3   0:02.80 WebExtens+
 2465 vbub      20   0 2645876 131552  95008 S   0,0  1,6   0:03.78 Web Conte+
 2559 vbub      20   0 2748712 199852 129644 S   0,0  2,4   0:12.40 Web Conte+
 2622 vbub      20   0 2564732  79620  62772 S   0,0  1,0   0:00.32 Web Conte+
 2689 vbub      20   0   21532   1052    956 T   0,0  0,0   0:00.00 grep
 2758 vbub      20   0  204468   6336   5744 S   0,0  0,1   0:00.00 gvfsd-met+
 2846 root      20   0       0      0      0 I   0,0  0,0   0:00.00 kworker/0+
 2960 vbub      20   0   29692   5448   3904 S   0,0  0,1   0:00.07 bash
 3065 root      20   0       0      0      0 I   0,0  0,0   0:00.08 kworker/u+
 3105 root      20   0       0      0      0 I   0,0  0,0   0:00.07 kworker/u+
 3130 vbub      20   0   14572    732    668 T   0,0  0,0   0:00.00 sleep
 3138 root      20   0   72956   4500   3864 S   0,0  0,1   0:00.00 sudo
 3139 root      20   0   72244   4124   3656 S   0,0  0,1   0:00.00 su
 3140 root      20   0   76756   7980   6768 S   0,0  0,1   0:00.02 systemd
 3141 root      20   0  259100   2532      4 S   0,0  0,0   0:00.00 (sd-pam)
 3152 root      20   0       0      0      0 I   0,0  0,0   0:00.00 kworker/0+
 3153 root      20   0   28708   4184   3676 S   0,0  0,1   0:00.00 bash
 3173 root      20   0   51180   4076   3488 R   0,0  0,0   0:00.00 top
